Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Segment,Region,State,City,Category,Sub_Category,Quantity,Discount,Sales,Profit
80,ORD-2022-05791,2022-01-12,2022-01-15,First Class,Corporate,West,Gujarat,Ahmedabad,Home Appliances,Cooling,9,0.0,94313.28,-1653.56
81,ORD-2022-03802,2022-01-12,2022-01-19,Standard Class,Corporate,North,Rajasthan,Jaipur,Office Supplies,Binders,6,0.1,4763.4,161.88
82,ORD-2022-01461,2022-01-12,2022-01-16,Second Class,Consumer,South,Karnataka,Bengaluru,Office Supplies,Stationery,11,0.1,10017.01,1219.0
83,ORD-2022-03683,2022-01-13,2022-01-19,Standard Class,Consumer,North,Uttar Pradesh,Lucknow,Electronics,Accessories,9,0.0,194407.28,21525.1
84,ORD-2022-05662,2022-01-13,2022-01-16,Standard Class,Small Business,North,Delhi,Delhi,Clothing,Kids,1,0.1,1100.49,126.18
85,ORD-2022-01510,2022-01-13,2022-01-20,Standard Class,Consumer,West,Maharashtra,Nagpur,Clothing,Men,11,0.0,17947.14,5539.42
86,ORD-2022-02108,2022-01-13,2022-01-18,First Class,Corporate,North,Delhi,Delhi,Electronics,Mobiles,2,0.0,21199.49,2931.96
87,ORD-2022-01639,2022-01-13,2022-01-16,First Class,Corporate,South,Telangana,Hyderabad,Home Appliances,Lighting,6,0.15,24779.96,3190.46
88,ORD-2022-05342,2022-01-13,2022-01-16,First Class,Small Business,West,Maharashtra,Pune,Electronics,Cameras,12,0.05,249742.43,25141.29
89,ORD-2022-03789,2022-01-13,2022-01-17,Standard Class,Small Business,North,Chandigarh,Chandigarh,Furniture,Chairs,7,0.1,101234.52,-5986.63
90,ORD-2022-05203,2022-01-14,2022-01-16,Standard Class,Small Business,West,Maharashtra,Mumbai,Office Supplies,Labels,6,0.05,7288.7,1195.11
91,ORD-2022-05048,2022-01-14,2022-01-17,Second Class,Consumer,South,Telangana,Hyderabad,Office Supplies,Labels,9,0.15,2297.05,238.15
92,ORD-2022-04843,2022-01-14,2022-01-17,Standard Class,Small Business,North,Uttar Pradesh,Lucknow,Office Supplies,Binders,3,0.2,3464.91,419.72
93,ORD-2022-00149,2022-01-14,2022-01-18,Second Class,Small Business,North,Delhi,Delhi,Clothing,Men,3,0.0,1001.47,251.69
94,ORD-2022-04485,2022-01-15,2022-01-20,Second Class,Corporate,East,Bihar,Patna,Office Supplies,Binders,6,0.1,7500.34,959.78
95,ORD-2022-04410,2022-01-15,2022-01-21,Second Class,Consumer,West,Maharashtra,Nagpur,Home Appliances,Lighting,5,0.0,25706.45,3407.91
96,ORD-2022-05177,2022-01-15,2022-01-22,Same Day,Consumer,South,Telangana,Hyderabad,Electronics,Laptops,9,0.0,79481.83,1741.03
97,ORD-2022-02482,2022-01-16,2022-01-23,Second Class,Consumer,East,Bihar,Patna,Clothing,Women,11,0.0,30863.39,9973.9
98,ORD-2022-05673,2022-01-16,2022-01-19,Second Class,Corporate,East,Bihar,Patna,Electronics,Cameras,1,0.2,5761.45,-221.62
99,ORD-2022-03793,2022-01-16,2022-01-23,Standard Class,Consumer,North,Delhi,Delhi,Office Supplies,Labels,9,0.05,9400.69,1602.18
100,ORD-2022-04647,2022-01-16,2022-01-19,Second Class,Small Business,West,Gujarat,Ahmedabad,Home Appliances,Cooling,4,0.0,2810.28,-10.02
101,ORD-2022-01118,2022-01-16,2022-01-18,Second Class,Corporate,North,Uttar Pradesh,Lucknow,Furniture,Tables,12,0.2,57558.31,-7105.98
102,ORD-2022-04678,2022-01-17,2022-01-24,First Class,Corporate,East,West Bengal,Kolkata,Clothing,Kids,12,0.0,22586.35,6467.6
103,ORD-2022-03782,2022-01-17,2022-01-24,Second Class,Corporate,North,Delhi,Delhi,Office Supplies,Labels,2,0.05,1491.82,201.99
104,ORD-2022-05239,2022-01-17,2022-01-19,Same Day,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Paper,11,0.0,13030.15,2486.09
105,ORD-2022-01412,2022-01-17,2022-01-19,Same Day,Corporate,North,Uttar Pradesh,Lucknow,Electronics,Mobiles,10,0.3,150687.35,-2505.36
106,ORD-2022-01341,2022-01-17,2022-01-20,Same Day,Consumer,North,Delhi,Delhi,Electronics,Mobiles,3,0.0,37727.62,4136.25
107,ORD-2022-00980,2022-01-18,2022-01-20,First Class,Consumer,East,Assam,Guwahati,Home Appliances,Kitchen,9,0.0,76951.55,9667.03
108,ORD-2022-05743,2022-01-18,2022-01-25,Standard Class,Consumer,North,Rajasthan,Jaipur,Electronics,Cameras,7,0.0,152601.61,15447.1
109,ORD-2022-01672,2022-01-18,2022-01-25,First Class,Corporate,North,Delhi,Delhi,Home Appliances,Cleaning,10,0.0,39084.61,2266.54
110,ORD-2022-01960,2022-01-18,2022-01-24,Standard Class,Consumer,North,Uttar Pradesh,Lucknow,Clothing,Footwear,1,0.15,2086.62,330.51
111,ORD-2022-02294,2022-01-18,2022-01-22,Standard Class,Corporate,South,Karnataka,Bengaluru,Furniture,Storage,10,0.3,68497.61,-14966.45
112,ORD-2022-03261,2022-01-18,2022-01-24,Same Day,Consumer,East,Bihar,Patna,Office Supplies,Stationery,1,0.0,248.51,41.18
113,ORD-2022-04169,2022-01-18,2022-01-21,Standard Class,Small Business,West,Maharashtra,Pune,Home Appliances,Cleaning,9,0.05,62927.04,7185.17
114,ORD-2022-03295,2022-01-18,2022-01-24,Standard Class,Small Business,West,Gujarat,Ahmedabad,Electronics,Cameras,3,0.0,55266.39,1524.18
115,ORD-2022-01857,2022-01-18,2022-01-20,Standard Class,Consumer,North,Rajasthan,Jaipur,Home Appliances,Lighting,4,0.0,3284.01,537.09
116,ORD-2022-05091,2022-01-18,2022-01-19,Standard Class,Consumer,South,Tamil Nadu,Chennai,Office Supplies,Binders,7,0.05,1237.3,56.61
117,ORD-2022-02778,2022-01-18,2022-01-25,First Class,Consumer,West,Gujarat,Ahmedabad,Electronics,Mobiles,12,0.2,56849.91,-823.75
118,ORD-2022-03301,2022-01-18,2022-01-22,First Class,Consumer,North,Chandigarh,Chandigarh,Electronics,Cameras,2,0.05,1668.65,159.04
119,ORD-2022-04260,2022-01-19,2022-01-20,Same Day,Corporate,South,Telangana,Hyderabad,Clothing,Footwear,12,0.15,12105.17,1110.45
120,ORD-2022-05071,2022-01-20,2022-01-22,First Class,Corporate,West,Gujarat,Ahmedabad,Electronics,Cameras,11,0.0,231238.2,6767.09
121,ORD-2022-00152,2022-01-20,2022-01-26,Standard Class,Consumer,North,Delhi,Delhi,Electronics,Cameras,3,0.3,5882.11,-171.83
122,ORD-2022-02913,2022-01-20,2022-01-25,Standard Class,Consumer,North,Uttar Pradesh,Lucknow,Electronics,Accessories,12,0.0,118593.72,6658.16
123,ORD-2022-04572,2022-01-20,2022-01-23,First Class,Consumer,West,Maharashtra,Mumbai,Clothing,Kids,4,0.15,12308.67,1563.81
124,ORD-2022-00241,2022-01-20,2022-01-27,First Class,Small Business,East,Assam,Guwahati,Clothing,Men,3,0.2,4606.9,333.76
125,ORD-2022-03337,2022-01-21,2022-01-27,Second Class,Corporate,South,Karnataka,Bengaluru,Office Supplies,Labels,4,0.05,1125.5,82.22
126,ORD-2022-03932,2022-01-21,2022-01-24,First Class,Small Business,North,Rajasthan,Jaipur,Electronics,Cameras,12,0.05,69234.64,11540.16
127,ORD-2022-00523,2022-01-21,2022-01-22,Standard Class,Corporate,East,Assam,Guwahati,Electronics,Laptops,6,0.15,7784.77,-114.88
128,ORD-2022-05207,2022-01-21,2022-01-22,Standard Class,Consumer,West,Maharashtra,Nagpur,Office Supplies,Labels,8,0.0,11159.71,2785.36
129,ORD-2022-04076,2022-01-21,2022-01-25,Second Class,Corporate,North,Chandigarh,Chandigarh,Home Appliances,Lighting,1,0.15,4989.63,58.82
130,ORD-2022-03713,2022-01-21,2022-01-23,First Class,Consumer,South,Karnataka,Bengaluru,Clothing,Women,6,0.0,11590.7,2745.38
131,ORD-2022-03665,2022-01-22,2022-01-29,Standard Class,Corporate,South,Telangana,Hyderabad,Clothing,Men,7,0.3,5417.63,766.94
132,ORD-2022-05591,2022-01-22,2022-01-23,Standard Class,Corporate,East,Assam,Guwahati,Office Supplies,Stationery,3,0.1,3472.45,336.17
133,ORD-2022-04676,2022-01-22,2022-01-25,Standard Class,Small Business,East,West Bengal,Kolkata,Home Appliances,Lighting,4,0.15,10486.84,-553.28
134,ORD-2022-03375,2022-01-22,2022-01-24,Standard Class,Small Business,East,Bihar,Patna,Electronics,Accessories,10,0.0,139913.86,-134.25
135,ORD-2022-01706,2022-01-22,2022-01-29,Standard Class,Consumer,North,Uttar Pradesh,Lucknow,Home Appliances,Kitchen,3,0.05,9638.72,390.6
136,ORD-2022-01822,2022-01-23,2022-01-29,First Class,Consumer,North,Uttar Pradesh,Lucknow,Office Supplies,Stationery,1,0.15,323.91,35.5
137,ORD-2022-01834,2022-01-23,2022-01-27,Standard Class,Corporate,South,Kerala,Kochi,Home Appliances,Cleaning,5,0.2,13752.95,-38.13
138,ORD-2022-02267,2022-01-23,2022-01-25,Second Class,Corporate,South,Tamil Nadu,Chennai,Clothing,Kids,11,0.0,15973.48,1809.55
139,ORD-2022-01203,2022-01-23,2022-01-24,Standard Class,Consumer,South,Telangana,Hyderabad,Furniture,Tables,8,0.0,60602.51,-767.36
140,ORD-2022-01499,2022-01-23,2022-01-30,Second Class,Corporate,North,Rajasthan,Jaipur,Furniture,Chairs,4,0.1,40146.25,-343.5
141,ORD-2022-02652,2022-01-24,2022-01-25,Standard Class,Consumer,East,West Bengal,Kolkata,Clothing,Kids,6,0.05,15158.83,4337.81
142,ORD-2022-05896,2022-01-24,2022-01-27,Same Day,Corporate,South,Telangana,Hyderabad,Home Appliances,Kitchen,3,0.1,8790.71,794.71
143,ORD-2022-02636,2022-01-24,2022-01-26,Standard Class,Consumer,East,West Bengal,Kolkata,Office Supplies,Stationery,4,0.05,4976.62,1091.34
144,ORD-2022-00326,2022-01-24,2022-01-30,Standard Class,Small Business,East,Assam,Guwahati,Office Supplies,Stationery,11,0.05,1146.51,94.18
145,ORD-2022-04515,2022-01-24,2022-01-25,Standard Class,Consumer,South,Kerala,Kochi,Home Appliances,Cleaning,3,0.2,11435.83,-350.79
146,ORD-2022-02835,2022-01-24,2022-01-27,Standard Class,Corporate,North,Delhi,Delhi,Furniture,Storage,10,0.05,88730.58,-5288.61
147,ORD-2022-02952,2022-01-25,2022-01-31,Second Class,Corporate,North,Uttar Pradesh,Lucknow,Office Supplies,Paper,2,0.15,2090.58,317.02
148,ORD-2022-00617,2022-01-25,2022-01-30,Second Class,Consumer,South,Kerala,Kochi,Home Appliances,Lighting,2,0.0,15894.19,1375.86
149,ORD-2022-05231,2022-01-25,2022-01-28,Standard Class,Small Business,West,Maharashtra,Pune,Electronics,Laptops,4,0.0,52472.27,10938.19
150,ORD-2022-01533,2022-01-25,2022-01-30,Standard Class,Corporate,South,Karnataka,Bengaluru,Home Appliances,Cooling,7,0.15,60861.51,1484.42
151,ORD-2022-04556,2022-01-25,2022-02-01,Standard Class,Small Business,West,Maharashtra,Pune,Office Supplies,Binders,10,0.0,6719.49,1088.37
152,ORD-2022-00533,2022-01-25,2022-01-29,First Class,Small Business,East,Bihar,Patna,Clothing,Footwear,11,0.1,17530.62,2910.7
153,ORD-2022-01648,2022-01-25,2022-01-26,Standard Class,Consumer,West,Gujarat,Ahmedabad,Office Supplies,Binders,7,0.05,3050.07,653.15
154,ORD-2022-03255,2022-01-26,2022-02-01,Same Day,Consumer,North,Uttar Pradesh,Lucknow,Electronics,Accessories,8,0.05,167615.74,16268.31
155,ORD-2022-01896,2022-01-26,2022-02-02,Second Class,Consumer,South,Kerala,Kochi,Electronics,Accessories,2,0.0,8549.14,665.12
156,ORD-2022-02077,2022-01-26,2022-01-29,Second Class,Consumer,South,Telangana,Hyderabad,Furniture,Chairs,8,0.15,19701.4,-1143.74
157,ORD-2022-01490,2022-01-26,2022-01-28,Second Class,Corporate,West,Gujarat,Ahmedabad,Clothing,Men,7,0.1,24519.96,6025.9
158,ORD-2022-03860,2022-01-26,2022-01-30,Second Class,Consumer,North,Delhi,Delhi,Electronics,Mobiles,6,0.05,56109.19,3550.4
159,ORD-2022-02956,2022-01-27,2022-02-02,First Class,Corporate,South,Karnataka,Bengaluru,Electronics,Accessories,8,0.1,46798.23,7246.32
160,ORD-2022-04242,2022-01-27,2022-01-30,First Class,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Labels,9,0.2,9942.85,1327.61
161,ORD-2022-02466,2022-01-27,2022-01-28,Standard Class,Corporate,East,Assam,Guwahati,Electronics,Accessories,1,0.0,2502.22,383.43
162,ORD-2022-00432,2022-01-27,2022-02-02,Standard Class,Small Business,West,Maharashtra,Pune,Home Appliances,Lighting,8,0.0,15672.67,-663.8
163,ORD-2022-04373,2022-01-27,2022-02-03,First Class,Corporate,South,Tamil Nadu,Chennai,Electronics,Mobiles,7,0.0,147369.04,5080.21
164,ORD-2022-02901,2022-01-28,2022-01-30,Standard Class,Corporate,South,Telangana,Hyderabad,Electronics,Cameras,9,0.1,103140.78,4875.39
165,ORD-2022-01497,2022-01-28,2022-01-30,Standard Class,Small Business,South,Telangana,Hyderabad,Clothing,Footwear,12,0.05,8892.43,2833.93
166,ORD-2022-04723,2022-01-28,2022-02-04,First Class,Small Business,North,Delhi,Delhi,Clothing,Footwear,12,0.0,24933.72,5524.62
167,ORD-2022-04223,2022-01-28,2022-02-03,Same Day,Consumer,North,Rajasthan,Jaipur,Electronics,Laptops,6,0.2,87455.4,-29.18
168,ORD-2022-00551,2022-01-28,2022-01-30,First Class,Consumer,West,Maharashtra,Nagpur,Office Supplies,Paper,1,0.1,448.05,60.57
169,ORD-2022-04240,2022-01-28,2022-02-02,First Class,Consumer,East,Assam,Guwahati,Clothing,Men,10,0.0,23546.22,5069.65
170,ORD-2022-02376,2022-01-29,2022-01-30,Standard Class,Consumer,North,Chandigarh,Chandigarh,Electronics,Cameras,12,0.3,7879.34,290.83
171,ORD-2022-03990,2022-01-29,2022-01-30,First Class,Consumer,South,Karnataka,Bengaluru,Furniture,Bookcases,8,0.3,80268.79,-17376.34
172,ORD-2022-02989,2022-01-29,2022-02-03,Same Day,Corporate,North,Rajasthan,Jaipur,Furniture,Bookcases,1,0.1,1515.39,-208.84
173,ORD-2022-01614,2022-01-29,2022-02-01,Standard Class,Corporate,West,Gujarat,Ahmedabad,Home Appliances,Cleaning,6,0.0,44117.18,3323.34
174,ORD-2022-03309,2022-01-30,2022-02-01,Second Class,Corporate,South,Karnataka,Bengaluru,Office Supplies,Paper,2,0.0,1333.4,380.91
175,ORD-2022-03841,2022-01-30,2022-02-02,Standard Class,Corporate,East,West Bengal,Kolkata,Office Supplies,Binders,3,0.15,1899.96,129.46
176,ORD-2022-04907,2022-01-30,2022-01-31,Second Class,Corporate,North,Uttar Pradesh,Lucknow,Home Appliances,Cleaning,12,0.0,137352.95,6896.23
177,ORD-2022-01130,2022-01-31,2022-02-01,Standard Class,Small Business,South,Telangana,Hyderabad,Office Supplies,Stationery,12,0.0,15971.59,3189.94
178,ORD-2022-04103,2022-01-31,2022-02-07,Standard Class,Corporate,West,Gujarat,Ahmedabad,Furniture,Storage,4,0.15,41152.83,-573.49
179,ORD-2022-03587,2022-01-31,2022-02-02,Second Class,Corporate,East,Assam,Guwahati,Clothing,Women,12,0.15,33886.89,3499.1
180,ORD-2022-03581,2022-01-31,2022-02-07,Second Class,Corporate,North,Uttar Pradesh,Lucknow,Office Supplies,Stationery,9,0.0,7264.34,2233.68
